IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
8.219.161.129	2087	TRUE	SIN	Asia Pacific	Singapore	229 ms	4619 kB/s
8.217.145.40	2083	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	4606 kB/s
47.236.202.91	2096	TRUE	SIN	Asia Pacific	Singapore	220 ms	4574 kB/s
8.219.210.64	2083	TRUE	SIN	Asia Pacific	Singapore	221 ms	4536 kB/s
47.243.60.150	2096	TRUE	HKG	Asia Pacific	Hong Kong	55 ms	4526 kB/s
47.237.84.173	2053	TRUE	SIN	Asia Pacific	Singapore	218 ms	4520 kB/s
47.236.164.215	2083	TRUE	SIN	Asia Pacific	Singapore	245 ms	4516 kB/s
8.219.153.237	2083	TRUE	NRT	Asia Pacific	Tokyo	288 ms	4509 kB/s
8.210.119.11	2087	TRUE	HKG	Asia Pacific	Hong Kong	68 ms	4500 kB/s
47.242.176.237	8443	TRUE	HKG	Asia Pacific	Hong Kong	69 ms	4478 kB/s
8.219.117.198	2083	TRUE	SIN	Asia Pacific	Singapore	223 ms	4467 kB/s
47.243.173.187	8443	TRUE	HKG	Asia Pacific	Hong Kong	55 ms	4423 kB/s
8.219.111.175	2083	TRUE	SIN	Asia Pacific	Singapore	225 ms	4390 kB/s
47.245.84.124	2083	TRUE	SIN	Asia Pacific	Singapore	254 ms	4351 kB/s
8.219.222.98	2053	TRUE	SIN	Asia Pacific	Singapore	222 ms	4336 kB/s
47.236.117.48	2053	TRUE	SIN	Asia Pacific	Singapore	216 ms	4315 kB/s
8.219.229.190	8443	TRUE	SIN	Asia Pacific	Singapore	212 ms	4312 kB/s
8.217.164.10	8443	TRUE	HKG	Asia Pacific	Hong Kong	67 ms	4293 kB/s
8.210.21.65	8443	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	4282 kB/s
8.219.153.237	2087	TRUE	NRT	Asia Pacific	Tokyo	280 ms	4276 kB/s
8.210.245.224	2083	TRUE	HKG	Asia Pacific	Hong Kong	68 ms	4268 kB/s
47.236.93.176	8443	TRUE	SIN	Asia Pacific	Singapore	247 ms	4236 kB/s
